,Unnamed: 0,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,game_date,hscore,rscore,date,home,road,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linegreen,linel2,linel1,lineray1,lineray2,linedunk,lineadj,lineavgadj,linegabe
0,1,"Tue, Nov 1, 2005",Box Score,Sacramento Kings,67,New Orleans/Oklahoma City Hornets,93,,,2005-11-01 00:00:00,93,67,,,,,,,,,,,,,,,,,,,,
1,2,"Tue, Nov 1, 2005",Box Score,Milwaukee Bucks,117,Philadelphia 76ers,108,OT,,2005-11-01 00:00:00,108,117,,,,,,,,,,,,,,,,,,,,
2,3,"Tue, Nov 1, 2005",Box Score,Dallas Mavericks,111,Phoenix Suns,108,2OT,,2005-11-01 00:00:00,108,111,,,,,,,,,,,,,,,,,,,,
3,4,"Tue, Nov 1, 2005",Box Score,Denver Nuggets,91,San Antonio Spurs,102,,,2005-11-01 00:00:00,102,91,,,,,,,,,,,,,,,,,,,,
4,5,"Wed, Nov 2, 2005",Box Score,New York Knicks,100,Boston Celtics,114,OT,,2005-11-02 00:00:00,114,100,11/2/2005,Boston,New York,3.5,4.2,4.96,4.92,5.04,3.5,1.85,5.0,.,.,.,.,.,.,.,.,.
5,6,"Wed, Nov 2, 2005",Box Score,Charlotte Bobcats,105,Chicago Bulls,109,OT,,2005-11-02 00:00:00,109,105,11/2/2005,Chicago,Charlotte,9,7.9,8.21,8.09,8.47,10,1.85,13.2,.,.,.,.,.,.,.,.,.
6,7,"Wed, Nov 2, 2005",Box Score,New Orleans/Oklahoma City Hornets,87,Cleveland Cavaliers,109,,,2005-11-02 00:00:00,109,87,11/2/2005,Cleveland,New orleans,12,6.03,4.26,4.56,4.04,11.5,1.33,14.2,.,.,.,.,.,.,.,.,.
7,8,"Wed, Nov 2, 2005",Box Score,Los Angeles Lakers,99,Denver Nuggets,97,OT,,2005-11-02 00:00:00,97,99,11/2/2005,Denver,LA Lakers,6,5.77,5.79,6.41,5.15,6.5,1.52,10.0,.,.,.,.,.,.,.,.,.
8,9,"Wed, Nov 2, 2005",Box Score,Philadelphia 76ers,88,Detroit Pistons,108,,,2005-11-02 00:00:00,108,88,11/2/2005,Detroit,Philadelphia,8,9.39,10.31,10.12,10.7,8,2.12,14.6,.,.,.,.,.,.,.,.,.
9,10,"Wed, Nov 2, 2005",Box Score,Atlanta Hawks,97,Golden State Warriors,122,,,2005-11-02 00:00:00,122,97,11/2/2005,Golden State,Atlanta,12,8.19,9.16,9.02,9.48,12,1.85,12.4,.,.,.,.,.,.,.,.,.
10,11,"Wed, Nov 2, 2005",Box Score,Sacramento Kings,89,Houston Rockets,98,,,2005-11-02 00:00:00,98,89,11/2/2005,Houston,Sacramento,7,5.26,4.5,4.17,4.97,7,2.38,9.5,.,.,.,.,.,.,.,.,.
11,12,"Wed, Nov 2, 2005",Box Score,Miami Heat,97,Memphis Grizzlies,78,,,2005-11-02 00:00:00,78,97,11/2/2005,Memphis,Miami,-5,0.37,1.09,1.16,0.97,-5.5,1.85,-2.5,.,.,.,.,.,.,.,.,.
12,13,"Wed, Nov 2, 2005",Box Score,Portland Trail Blazers,86,Minnesota Timberwolves,90,,,2005-11-02 00:00:00,90,86,11/2/2005,Minnesota,Portland,10.5,7.25,7.09,6.98,7.28,11,1.85,12.9,.,.,.,.,.,.,.,.,.
13,14,"Wed, Nov 2, 2005",Box Score,Milwaukee Bucks,110,New Jersey Nets,96,,,2005-11-02 00:00:00,96,110,11/2/2005,New Jersey,Milwaukee,8.5,5.51,4.77,5.17,4.48,8.5,1.59,10.8,.,.,.,.,.,.,.,.,.
14,15,"Wed, Nov 2, 2005",Box Score,Indiana Pacers,90,Orlando Magic,78,,,2005-11-02 00:00:00,78,90,11/2/2005,Orlando,Indiana,-7,-1.59,-0.99,-0.87,-1.23,-6,1.85,-6.1,.,.,.,.,.,.,.,.,.
15,16,"Wed, Nov 2, 2005",Box Score,Los Angeles Clippers,101,Seattle SuperSonics,93,,,2005-11-02 00:00:00,93,101,11/2/2005,Seattle,LA Clippers,6,5.83,7.38,7.27,7.59,6.5,1.85,6.6,.,.,.,.,.,.,.,.,.
16,17,"Wed, Nov 2, 2005",Box Score,Washington Wizards,99,Toronto Raptors,96,,,2005-11-02 00:00:00,96,99,11/2/2005,Toronto,Washington,-1,2.19,2.82,2.83,2.78,-1.5,1.85,1.3,.,.,.,.,.,.,.,.,.
17,18,"Wed, Nov 2, 2005",Box Score,Dallas Mavericks,82,Utah Jazz,93,,,2005-11-02 00:00:00,93,82,11/2/2005,Utah,Dallas,-3.5,-2.91,-5.49,-5.75,-5.25,-4,1.75,-2.4,.,.,.,.,.,.,.,.,.
18,19,"Thu, Nov 3, 2005",Box Score,Phoenix Suns,122,Los Angeles Lakers,112,,,2005-11-03 00:00:00,112,122,11/3/2005,LA Lakers,Phoenix,2.5,2.57,4.26,3.19,5.07,3.5,2.03,0.0,.,.,.,.,.,.,.,.,.
19,20,"Thu, Nov 3, 2005",Box Score,Indiana Pacers,105,Miami Heat,102,,,2005-11-03 00:00:00,102,105,11/3/2005,Miami,Indiana,5.5,6.02,7.85,8.25,7.52,5.5,2.02,6.3,.,.,.,.,.,.,.,.,.
20,21,"Fri, Nov 4, 2005",Box Score,Detroit Pistons,82,Boston Celtics,81,,,2005-11-04 00:00:00,81,82,11/4/2005,Boston,Detroit,-3.5,-0.12,1.1,0.96,1.04,-3,1.73,-4.2,.,.,.,.,.,.,.,.,.
21,22,"Fri, Nov 4, 2005",Box Score,Portland Trail Blazers,68,Denver Nuggets,107,,,2005-11-04 00:00:00,107,68,11/4/2005,Denver,Portland,11.5,5.19,2.44,4.19,0.4,12,1.56,14.6,.,.,.,.,.,.,.,.,.
22,23,"Fri, Nov 4, 2005",Box Score,Utah Jazz,91,Golden State Warriors,85,,,2005-11-04 00:00:00,85,91,11/4/2005,Golden State,Utah,6.5,-0.72,-4.91,-8.73,-3.0,7,2.05,6.8,.,.,.,.,.,.,.,.,.
