,Unnamed: 0,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,game_date,hscore,rscore,date,home,road,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linegreen,linel2,linebemiss,linefox,linedunk,lineadj,lineavgadj,linegabe
0,1,"Tue, Oct 31, 2006",Box Score,Phoenix Suns,106,Los Angeles Lakers,114,,,2006-10-31 00:00:00,114,106,,,,,,,,,,,,,,,,,,,
1,2,"Tue, Oct 31, 2006",Box Score,Chicago Bulls,108,Miami Heat,66,,,2006-10-31 00:00:00,66,108,,,,,,,,,,,,,,,,,,,
2,3,"Wed, Nov 1, 2006",Box Score,New Orleans/Oklahoma City Hornets,91,Boston Celtics,87,,,2006-11-01 00:00:00,87,91,,,,,,,,,,,,,,,,,,,
3,4,"Wed, Nov 1, 2006",Box Score,Indiana Pacers,106,Charlotte Bobcats,99,,,2006-11-01 00:00:00,99,106,,,,,,,,,,,,,,,,,,,
4,5,"Wed, Nov 1, 2006",Box Score,Washington Wizards,94,Cleveland Cavaliers,97,,,2006-11-01 00:00:00,97,94,,,,,,,,,,,,,,,,,,,
5,6,"Wed, Nov 1, 2006",Box Score,Milwaukee Bucks,105,Detroit Pistons,97,,,2006-11-01 00:00:00,97,105,,,,,,,,,,,,,,,,,,,
6,7,"Wed, Nov 1, 2006",Box Score,Los Angeles Lakers,110,Golden State Warriors,98,,,2006-11-01 00:00:00,98,110,,,,,,,,,,,,,,,,,,,
7,8,"Wed, Nov 1, 2006",Box Score,New York Knicks,118,Memphis Grizzlies,117,3OT,,2006-11-01 00:00:00,117,118,,,,,,,,,,,,,,,,,,,
8,9,"Wed, Nov 1, 2006",Box Score,Sacramento Kings,83,Minnesota Timberwolves,92,,,2006-11-01 00:00:00,92,83,,,,,,,,,,,,,,,,,,,
9,10,"Wed, Nov 1, 2006",Box Score,Toronto Raptors,92,New Jersey Nets,102,,,2006-11-01 00:00:00,102,92,,,,,,,,,,,,,,,,,,,
10,11,"Wed, Nov 1, 2006",Box Score,Chicago Bulls,94,Orlando Magic,109,,,2006-11-01 00:00:00,109,94,,,,,,,,,,,,,,,,,,,
11,12,"Wed, Nov 1, 2006",Box Score,Atlanta Hawks,75,Philadelphia 76ers,88,,,2006-11-01 00:00:00,88,75,,,,,,,,,,,,,,,,,,,
12,13,"Wed, Nov 1, 2006",Box Score,Los Angeles Clippers,104,Phoenix Suns,112,,,2006-11-01 00:00:00,112,104,,,,,,,,,,,,,,,,,,,
13,14,"Wed, Nov 1, 2006",Box Score,Portland Trail Blazers,110,Seattle SuperSonics,106,,,2006-11-01 00:00:00,106,110,,,,,,,,,,,,,,,,,,,
14,15,"Wed, Nov 1, 2006",Box Score,Houston Rockets,97,Utah Jazz,107,,,2006-11-01 00:00:00,107,97,,,,,,,,,,,,,,,,,,,
15,16,"Thu, Nov 2, 2006",Box Score,San Antonio Spurs,97,Dallas Mavericks,91,,,2006-11-02 00:00:00,91,97,,,,,,,,,,,,,,,,,,,
16,17,"Thu, Nov 2, 2006",Box Score,Denver Nuggets,95,Los Angeles Clippers,96,,,2006-11-02 00:00:00,96,95,,,,,,,,,,,,,,,,,,,
17,18,"Fri, Nov 3, 2006",Box Score,New York Knicks,92,Atlanta Hawks,102,,,2006-11-03 00:00:00,102,92,,,,,,,,,,,,,,,,,,,
18,19,"Fri, Nov 3, 2006",Box Score,Detroit Pistons,101,Boston Celtics,88,,,2006-11-03 00:00:00,88,101,,,,,,,,,,,,,,,,,,,
19,20,"Fri, Nov 3, 2006",Box Score,Sacramento Kings,89,Chicago Bulls,88,,,2006-11-03 00:00:00,88,89,,,,,,,,,,,,,,,,,,,
20,21,"Fri, Nov 3, 2006",Box Score,Minnesota Timberwolves,112,Denver Nuggets,109,,,2006-11-03 00:00:00,109,112,,,,,,,,,,,,,,,,,,,
21,22,"Fri, Nov 3, 2006",Box Score,Portland Trail Blazers,89,Golden State Warriors,102,,,2006-11-03 00:00:00,102,89,,,,,,,,,,,,,,,,,,,
22,23,"Fri, Nov 3, 2006",Box Score,New Orleans/Oklahoma City Hornets,100,Indiana Pacers,91,,,2006-11-03 00:00:00,91,100,,,,,,,,,,,,,,,,,,,
23,24,"Fri, Nov 3, 2006",Box Score,Seattle SuperSonics,112,Los Angeles Lakers,118,,,2006-11-03 00:00:00,118,112,,,,,,,,,,,,,,,,,,,
24,25,"Fri, Nov 3, 2006",Box Score,Charlotte Bobcats,83,Memphis Grizzlies,96,,,2006-11-03 00:00:00,96,83,,,,,,,,,,,,,,,,,,,
