,Unnamed: 0,Unnamed: 0.1,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,line_x,game_date,hscore,rscore,date_x,home_x,road_x,line_y,lineavg_x,linesag_x,linesage_x,linesagp_x,lineopen_x,linemoore_x,linepower_x,linenscombo_x,linel2_x,linegametime_x,lineray1_x,linefox_x,linedunk_x,linegirl_x,linegabe_x,lineboyd_x,linemass_x,linedok_x,lineblc_x,line_x,date_y,home_y,road_y,line_y,lineavg_y,linesag_y,linesage_y,linesagp_y,lineopen_y,linemoore_y,linepower_y,linenscombo_y,linel2_y,linegametime_y,lineray1_y,linefox_y,linedunk_y,linegirl_y,linegabe_y,lineboyd_y,linemass_y,linedok_y,lineblc_y
0,0,1,"Tue, Oct 27, 2009",Box Score,Boston Celtics,95,Cleveland Cavaliers,89,,,0,2009-10-27 00:00:00,89,95,10/27/2009,Cleveland,Boston,5,4.18,4.67,4.67,4.67,5,3.0,5.8,.,.,5.0,-6.57,10.0,9.03,2.17,.,.,.,3.99,.,0,10/27/2009,Cleveland,Boston,5,4.18,4.67,4.67,4.67,5,3.0,5.8,.,.,5.0,-6.57,10.0,9.03,2.17,.,.,.,3.99,.
1,1,2,"Tue, Oct 27, 2009",Box Score,Washington Wizards,102,Dallas Mavericks,91,,,0,2009-10-27 00:00:00,91,102,10/27/2009,Dallas,Washington,8,9.74,11.62,11.62,11.62,8,3.0,8.6,.,.,5.0,9.15,13.0,14.23,12.6,.,.,.,8.55,.,0,10/27/2009,Dallas,Washington,8,9.74,11.62,11.62,11.62,8,3.0,8.6,.,.,5.0,9.15,13.0,14.23,12.6,.,.,.,8.55,.
2,2,3,"Tue, Oct 27, 2009",Box Score,Los Angeles Clippers,92,Los Angeles Lakers,99,,,0,2009-10-27 00:00:00,99,92,10/27/2009,LA Lakers,LA Clippers,10,15.16,18.47,18.47,18.47,10,3.0,16.5,.,.,12.0,4.35,30.0,20.17,20.09,.,.,.,8.52,.,0,10/27/2009,LA Lakers,LA Clippers,10,15.16,18.47,18.47,18.47,10,3.0,16.5,.,.,12.0,4.35,30.0,20.17,20.09,.,.,.,8.52,.
3,3,4,"Tue, Oct 27, 2009",Box Score,Houston Rockets,87,Portland Trail Blazers,96,,,0,2009-10-27 00:00:00,96,87,10/27/2009,Portland,Houston,10,3.7,1.68,1.68,1.68,10,3.0,7.5,.,.,9.0,-3.31,6.0,8.4,1.5,.,.,.,1.6,.,0,10/27/2009,Portland,Houston,10,3.7,1.68,1.68,1.68,10,3.0,7.5,.,.,9.0,-3.31,6.0,8.4,1.5,.,.,.,1.6,.
4,4,5,"Wed, Oct 28, 2009",Box Score,Indiana Pacers,109,Atlanta Hawks,120,,,0,2009-10-28 00:00:00,120,109,10/28/2009,Atlanta,Indiana,9.5,6.19,4.54,4.55,4.53,9.5,3.0,10.8,.,.,6.0,13.14,0.01,8.5,7.39,.,.,.,3.94,.,0,10/28/2009,Atlanta,Indiana,9.5,6.19,4.54,4.55,4.53,9.5,3.0,10.8,.,.,6.0,13.14,0.01,8.5,7.39,.,.,.,3.94,.
5,5,6,"Wed, Oct 28, 2009",Box Score,Charlotte Bobcats,59,Boston Celtics,92,,,0,2009-10-28 00:00:00,92,59,10/28/2009,Boston,Charlotte,10,11.2,13.16,13.04,13.31,11,3.52,16.3,.,.,9.5,11.98,8.0,12.61,16.4,.,.,.,7.33,.,0,10/28/2009,Boston,Charlotte,10,11.2,13.16,13.04,13.31,11,3.52,16.3,.,.,9.5,11.98,8.0,12.61,16.4,.,.,.,7.33,.
6,6,7,"Wed, Oct 28, 2009",Box Score,Utah Jazz,105,Denver Nuggets,114,,,0,2009-10-28 00:00:00,114,105,10/28/2009,Denver,Utah,5.5,4.53,5.19,5.2,5.17,6,3.0,7.4,.,.,4.0,-0.48,10.0,3.14,3.67,.,.,.,4.18,.,0,10/28/2009,Denver,Utah,5.5,4.53,5.19,5.2,5.17,6,3.0,7.4,.,.,4.0,-0.48,10.0,3.14,3.67,.,.,.,4.18,.
7,7,8,"Wed, Oct 28, 2009",Box Score,Houston Rockets,108,Golden State Warriors,107,,,0,2009-10-28 00:00:00,107,108,10/28/2009,Golden State,Houston,6.5,-0.8,-1.48,-1.31,-1.68,6.5,3.53,-1.3,.,.,3.25,-5.57,-8.0,7.9,-5.28,.,.,.,0.47,.,0,10/28/2009,Golden State,Houston,6.5,-0.8,-1.48,-1.31,-1.68,6.5,3.53,-1.3,.,.,3.25,-5.57,-8.0,7.9,-5.28,.,.,.,0.47,.
8,8,9,"Wed, Oct 28, 2009",Box Score,Phoenix Suns,109,Los Angeles Clippers,107,,,0,2009-10-28 00:00:00,107,109,10/28/2009,LA Clippers,Phoenix,-2,-1.43,-4.54,-4.87,-4.19,1,2.47,1.4,.,.,0.75,6.41,-7.0,2.09,-6.27,.,.,.,-5.04,.,0,10/28/2009,LA Clippers,Phoenix,-2,-1.43,-4.54,-4.87,-4.19,1,2.47,1.4,.,.,0.75,6.41,-7.0,2.09,-6.27,.,.,.,-5.04,.
9,9,10,"Wed, Oct 28, 2009",Box Score,Detroit Pistons,96,Memphis Grizzlies,74,,,0,2009-10-28 00:00:00,74,96,10/28/2009,Memphis,Detroit,-2.5,-1.11,-2.6,-2.65,-2.53,-2,3.0,1.0,.,.,-2.0,-1.81,5.0,-4.16,-6.07,.,.,.,-0.88,.,0,10/28/2009,Memphis,Detroit,-2.5,-1.11,-2.6,-2.65,-2.53,-2,3.0,1.0,.,.,-2.0,-1.81,5.0,-4.16,-6.07,.,.,.,-0.88,.
