"","Date","","Visitor/Neutral","PTS","Home/Neutral","PTS","","Notes"
"1","Sun, Dec 25, 2011","Box Score","Miami Heat","105","Dallas Mavericks","94","",""
"2","Sun, Dec 25, 2011","Box Score","Los Angeles Clippers","105","Golden State Warriors","86","",""
"3","Sun, Dec 25, 2011","Box Score","Chicago Bulls","88","Los Angeles Lakers","87","",""
"4","Sun, Dec 25, 2011","Box Score","Boston Celtics","104","New York Knicks","106","",""
"5","Sun, Dec 25, 2011","Box Score","Orlando Magic","89","Oklahoma City Thunder","97","",""
"6","Mon, Dec 26, 2011","Box Score","Milwaukee Bucks","95","Charlotte Bobcats","96","",""
"7","Mon, Dec 26, 2011","Box Score","Toronto Raptors","104","Cleveland Cavaliers","96","",""
"8","Mon, Dec 26, 2011","Box Score","Denver Nuggets","115","Dallas Mavericks","93","",""
"9","Mon, Dec 26, 2011","Box Score","Chicago Bulls","91","Golden State Warriors","99","",""
"10","Mon, Dec 26, 2011","Box Score","Detroit Pistons","79","Indiana Pacers","91","",""
"11","Mon, Dec 26, 2011","Box Score","Oklahoma City Thunder","104","Minnesota Timberwolves","100","",""
"12","Mon, Dec 26, 2011","Box Score","Houston Rockets","95","Orlando Magic","104","",""
"13","Mon, Dec 26, 2011","Box Score","New Orleans Hornets","85","Phoenix Suns","84","",""
"14","Mon, Dec 26, 2011","Box Score","Philadelphia 76ers","103","Portland Trail Blazers","107","",""
"15","Mon, Dec 26, 2011","Box Score","Los Angeles Lakers","91","Sacramento Kings","100","",""
"16","Mon, Dec 26, 2011","Box Score","Memphis Grizzlies","82","San Antonio Spurs","95","",""
"17","Mon, Dec 26, 2011","Box Score","New Jersey Nets","90","Washington Wizards","84","",""
"18","Tue, Dec 27, 2011","Box Score","Utah Jazz","71","Los Angeles Lakers","96","",""
"19","Tue, Dec 27, 2011","Box Score","Boston Celtics","107","Miami Heat","115","",""
"20","Tue, Dec 27, 2011","Box Score","Minnesota Timberwolves","95","Milwaukee Bucks","98","",""
"21","Tue, Dec 27, 2011","Box Score","Atlanta Hawks","106","New Jersey Nets","70","",""
"22","Tue, Dec 27, 2011","Box Score","Sacramento Kings","79","Portland Trail Blazers","101","",""
"23","Wed, Dec 28, 2011","Box Score","Washington Wizards","83","Atlanta Hawks","101","",""
"24","Wed, Dec 28, 2011","Box Score","Miami Heat","96","Charlotte Bobcats","95","",""
"25","Wed, Dec 28, 2011","Box Score","Utah Jazz","100","Denver Nuggets","117","",""
"26","Wed, Dec 28, 2011","Box Score","Cleveland Cavaliers","105","Detroit Pistons","89","",""
"27","Wed, Dec 28, 2011","Box Score","New York Knicks","78","Golden State Warriors","92","",""
"28","Wed, Dec 28, 2011","Box Score","Oklahoma City Thunder","98","Memphis Grizzlies","95","",""
"29","Wed, Dec 28, 2011","Box Score","Boston Celtics","78","New Orleans Hornets","97","",""
"30","Wed, Dec 28, 2011","Box Score","Philadelphia 76ers","103","Phoenix Suns","83","",""
"31","Wed, Dec 28, 2011","Box Score","Los Angeles Clippers","90","San Antonio Spurs","115","",""
"32","Wed, Dec 28, 2011","Box Score","Indiana Pacers","90","Toronto Raptors","85","",""
"33","Thu, Dec 29, 2011","Box Score","San Antonio Spurs","85","Houston Rockets","105","",""
"34","Thu, Dec 29, 2011","Box Score","New York Knicks","82","Los Angeles Lakers","99","",""
"35","Thu, Dec 29, 2011","Box Score","Dallas Mavericks","102","Oklahoma City Thunder","104","",""
"36","Thu, Dec 29, 2011","Box Score","New Jersey Nets","78","Orlando Magic","94","",""
"37","Thu, Dec 29, 2011","Box Score","Denver Nuggets","102","Portland Trail Blazers","111","",""
"38","Thu, Dec 29, 2011","Box Score","Chicago Bulls","108","Sacramento Kings","98","",""
"39","Fri, Dec 30, 2011","Box Score","New Jersey Nets","98","Atlanta Hawks","105","",""
"40","Fri, Dec 30, 2011","Box Score","Detroit Pistons","85","Boston Celtics","96","",""
"41","Fri, Dec 30, 2011","Box Score","Orlando Magic","100","Charlotte Bobcats","79","",""
"42","Fri, Dec 30, 2011","Box Score","Toronto Raptors","86","Dallas Mavericks","99","",""
"43","Fri, Dec 30, 2011","Box Score","Cleveland Cavaliers","91","Indiana Pacers","98","OT",""
"44","Fri, Dec 30, 2011","Box Score","Chicago Bulls","114","Los Angeles Clippers","101","",""
"45","Fri, Dec 30, 2011","Box Score","Houston Rockets","93","Memphis Grizzlies","113","",""
"46","Fri, Dec 30, 2011","Box Score","Washington Wizards","81","Milwaukee Bucks","102","",""
"47","Fri, Dec 30, 2011","Box Score","Miami Heat","103","Minnesota Timberwolves","101","",""
"48","Fri, Dec 30, 2011","Box Score","Phoenix Suns","93","New Orleans Hornets","78","",""
"49","Fri, Dec 30, 2011","Box Score","Philadelphia 76ers","99","Utah Jazz","102","",""
"50","Sat, Dec 31, 2011","Box Score","Indiana Pacers","88","Detroit Pistons","96","",""
"51","Sat, Dec 31, 2011","Box Score","Philadelphia 76ers","107","Golden State Warriors","79","",""
"52","Sat, Dec 31, 2011","Box Score","Atlanta Hawks","84","Houston Rockets","95","",""
"53","Sat, Dec 31, 2011","Box Score","Denver Nuggets","89","Los Angeles Lakers","92","",""
"54","Sat, Dec 31, 2011","Box Score","Phoenix Suns","97","Oklahoma City Thunder","107","",""
"55","Sat, Dec 31, 2011","Box Score","New York Knicks","114","Sacramento Kings","92","",""
"56","Sat, Dec 31, 2011","Box Score","Utah Jazz","89","San Antonio Spurs","104","",""
"57","Sun, Jan 1, 2012","Box Score","Memphis Grizzlies","64","Chicago Bulls","104","",""
"58","Sun, Jan 1, 2012","Box Score","New Jersey Nets","82","Cleveland Cavaliers","98","",""
"59","Sun, Jan 1, 2012","Box Score","Los Angeles Lakers","90","Denver Nuggets","99","",""
"60","Sun, Jan 1, 2012","Box Score","Portland Trail Blazers","88","Los Angeles Clippers","93","",""
"61","Sun, Jan 1, 2012","Box Score","Charlotte Bobcats","90","Miami Heat","129","",""
"62","Sun, Jan 1, 2012","Box Score","Dallas Mavericks","82","Minnesota Timberwolves","99","",""
"63","Sun, Jan 1, 2012","Box Score","Toronto Raptors","96","Orlando Magic","102","",""
"64","Sun, Jan 1, 2012","Box Score","New Orleans Hornets","80","Sacramento Kings","96","",""
"65","Sun, Jan 1, 2012","Box Score","Boston Celtics","94","Washington Wizards","86","",""
"66","Mon, Jan 2, 2012","Box Score","Washington Wizards","92","Boston Celtics","100","",""
"67","Mon, Jan 2, 2012","Box Score","Oklahoma City Thunder","87","Dallas Mavericks","100","",""
"68","Mon, Jan 2, 2012","Box Score","Milwaukee Bucks","86","Denver Nuggets","91","",""
"69","Mon, Jan 2, 2012","Box Score","Orlando Magic","78","Detroit Pistons","89","",""
"70","Mon, Jan 2, 2012","Box Score","Atlanta Hawks","100","Miami Heat","92","",""
"71","Mon, Jan 2, 2012","Box Score","San Antonio Spurs","96","Minnesota Timberwolves","106","",""
"72","Mon, Jan 2, 2012","Box Score","Indiana Pacers","108","New Jersey Nets","94","",""
"73","Mon, Jan 2, 2012","Box Score","Toronto Raptors","90","New York Knicks","85","",""
"74","Mon, Jan 2, 2012","Box Score","Golden State Warriors","91","Phoenix Suns","102","",""
"75","Mon, Jan 2, 2012","Box Score","New Orleans Hornets","90","Utah Jazz","94","",""
"76","Tue, Jan 3, 2012","Box Score","Atlanta Hawks","74","Chicago Bulls","76","",""
"77","Tue, Jan 3, 2012","Box Score","Charlotte Bobcats","101","Cleveland Cavaliers","115","",""
"78","Tue, Jan 3, 2012","Box Score","Houston Rockets","99","Los Angeles Lakers","108","",""
"79","Tue, Jan 3, 2012","Box Score","Sacramento Kings","96","Memphis Grizzlies","113","",""
"80","Tue, Jan 3, 2012","Box Score","Portland Trail Blazers","103","Oklahoma City Thunder","93","",""
"81","Tue, Jan 3, 2012","Box Score","Milwaukee Bucks","73","Utah Jazz","85","",""
"82","Wed, Jan 4, 2012","Box Score","New Jersey Nets","70","Boston Celtics","89","",""
"83","Wed, Jan 4, 2012","Box Score","Phoenix Suns","89","Dallas Mavericks","98","",""
"84","Wed, Jan 4, 2012","Box Score","Sacramento Kings","83","Denver Nuggets","110","",""
"85","Wed, Jan 4, 2012","Box Score","Chicago Bulls","99","Detroit Pistons","83","",""
