,Unnamed: 0,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,game_date,hscore,rscore,date,home,road,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,linenutshell,linefox,linedok,linetalis,linegrind,linepugh,linedonc,linegt,linedoi
0,1,"Tue, Oct 28, 2014",Box Score,Houston Rockets,108,Los Angeles Lakers,90,,,2014-10-28 00:00:00,90,108,10/28/2014,LA Lakers,Houston,-7.0,-4.36,-7.02,-6.07,-7.36,-6.0,2.85,-1.8,-7.56,1.5,-4.0,-7.0,,-7.26,-5.46,-3.1,,
1,2,"Tue, Oct 28, 2014",Box Score,Orlando Magic,84,New Orleans Pelicans,101,,,2014-10-28 00:00:00,101,84,10/28/2014,New Orleans,Orlando,9.5,8.06,7.28,7.95,6.55,9.5,2.85,9.1,7.54,13.25,9.0,9.0,,10.61,7.33,6.3,,
2,3,"Tue, Oct 28, 2014",Box Score,Dallas Mavericks,100,San Antonio Spurs,101,,,2014-10-28 00:00:00,101,100,10/28/2014,San Antonio,Dallas,3.5,7.01,8.69,7.69,8.95,5.0,2.85,7.8,9.57,-1.5,15.0,6.0,,2.2,9.81,7.0,,
3,4,"Wed, Oct 29, 2014",Box Score,Brooklyn Nets,105,Boston Celtics,121,,,2014-10-29 00:00:00,121,105,10/29/2014,Boston,Brooklyn,1.0,-0.89,-3.02,-3.01,-3.02,-1.0,2.85,0.3,-3.01,7.75,-3.0,-2.0,,0.05,-0.34,-7.1,2.0,
4,5,"Wed, Oct 29, 2014",Box Score,Milwaukee Bucks,106,Charlotte Hornets,108,OT,,2014-10-29 00:00:00,108,106,10/29/2014,Charlotte,Milwaukee,8.0,8.39,10.65,10.67,10.65,9.0,2.85,11.6,10.66,0.75,8.0,8.0,,5.78,7.9,13.2,,
5,6,"Wed, Oct 29, 2014",Box Score,Detroit Pistons,79,Denver Nuggets,89,,,2014-10-29 00:00:00,89,79,10/29/2014,Denver,Detroit,6.5,5.96,5.74,5.75,5.74,7.5,2.85,7.6,5.75,3.75,8.0,7.0,,6.74,7.4,7.2,4.0,
6,7,"Wed, Oct 29, 2014",Box Score,Philadelphia 76ers,91,Indiana Pacers,103,,,2014-10-29 00:00:00,103,91,10/29/2014,Indiana,Philadelphia,7.0,9.01,10.5,10.52,10.5,8.5,2.85,12.0,10.51,7.5,9.0,9.0,,0.35,15.11,10.3,9.0,
7,8,"Wed, Oct 29, 2014",Box Score,Minnesota Timberwolves,101,Memphis Grizzlies,105,,,2014-10-29 00:00:00,105,101,10/29/2014,Memphis,Minnesota,7.0,7.13,10.94,10.96,10.94,8.5,2.85,11.7,10.95,-4.25,4.0,7.0,,2.49,3.97,14.1,7.0,
8,9,"Wed, Oct 29, 2014",Box Score,Washington Wizards,95,Miami Heat,107,,,2014-10-29 00:00:00,107,95,10/29/2014,Miami,Washington,3.5,3.13,1.15,1.16,1.15,4.5,2.85,4.1,1.16,7.0,6.0,4.0,,7.97,3.8,-1.7,2.0,
9,10,"Wed, Oct 29, 2014",Box Score,Chicago Bulls,104,New York Knicks,80,,,2014-10-29 00:00:00,80,104,10/29/2014,New York,Chicago,-4.0,0.08,-3.07,-3.06,-3.07,-4.0,2.85,-0.4,-3.06,2.25,5.0,-2.0,,1.92,2.42,2.3,-1.0,
10,11,"Wed, Oct 29, 2014",Box Score,Los Angeles Lakers,99,Phoenix Suns,119,,,2014-10-29 00:00:00,119,99,10/29/2014,Phoenix,LA Lakers,12.0,8.64,8.51,13.86,7.96,8.5,3.38,6.1,13.36,6.0,11.0,10.0,,8.13,8.73,8.8,6.5,
11,12,"Wed, Oct 29, 2014",Box Score,Oklahoma City Thunder,89,Portland Trail Blazers,106,,,2014-10-29 00:00:00,106,89,10/29/2014,Portland,Oklahoma City,8.5,3.5,1.51,1.52,1.51,4.5,2.85,1.3,1.52,11.0,-1.0,6.0,,7.09,-0.85,10.1,3.0,
12,13,"Wed, Oct 29, 2014",Box Score,Golden State Warriors,95,Sacramento Kings,77,,,2014-10-29 00:00:00,77,95,10/29/2014,Sacramento,Golden State,-4.5,-3.6,-5.33,-5.33,-5.33,-3.0,2.85,-4.8,-5.32,-2.5,-6.0,-3.0,,-0.51,-3.56,-5.0,-3.0,
13,14,"Wed, Oct 29, 2014",Box Score,Atlanta Hawks,102,Toronto Raptors,109,,,2014-10-29 00:00:00,109,102,10/29/2014,Toronto,Atlanta,4.5,4.59,5.0,5.01,5.0,5.5,2.85,9.3,5.01,4.0,7.0,4.0,,-0.64,5.3,3.8,4.0,
14,15,"Wed, Oct 29, 2014",Box Score,Houston Rockets,104,Utah Jazz,93,,,2014-10-29 00:00:00,93,104,10/29/2014,Utah,Houston,-3.0,-3.76,-5.54,-1.74,-6.26,-4.5,2.33,-5.7,-1.8,1.0,-10.0,-5.0,,-1.98,-6.31,-4.1,-3.8,
15,16,"Thu, Oct 30, 2014",Box Score,New York Knicks,95,Cleveland Cavaliers,90,,,2014-10-30 00:00:00,90,95,10/30/2014,Cleveland,New York,12.5,8.71,10.18,10.7,10.01,10.0,3.38,12.2,10.64,5.5,1.0,9.0,,13.78,4.18,14.0,,
16,17,"Thu, Oct 30, 2014",Box Score,Utah Jazz,102,Dallas Mavericks,120,,,2014-10-30 00:00:00,120,102,10/30/2014,Dallas,Utah,10.5,10.73,11.81,11.7,11.93,9.5,2.85,16.1,11.71,7.0,15.0,12.0,,8.38,10.95,9.3,,
17,18,"Thu, Oct 30, 2014",Box Score,Oklahoma City Thunder,90,Los Angeles Clippers,93,,,2014-10-30 00:00:00,93,90,10/30/2014,LA Clippers,Oklahoma City,13.0,6.15,4.52,5.02,4.26,9.5,3.38,4.7,5.02,5.0,6.0,8.0,,13.75,3.52,10.6,,
