"date","home","hscore","road","rscore","line","lineavg","linesag","linesage","linesagp","lineopen","linemoore","linepower","linegreen","linel2"
"11/02/2004","Dallas",107,"Sacramento",98,4.0,3.53,3.65,3.65,3.65,4.0,1.85,4.1,2.86,5.05
"11/02/2004","Detroit",87,"Houston",79,6.5,6.79,8.02,8.02,8.02,6.0,1.85,8.1,5.10,9.66
"11/02/2004","LA Lakers",89,"Denver",78,3.0,6.28,9.72,9.72,9.72,2.5,1.85,6.4,3.50,6.50
"11/03/2004","Boston",95,"Philadelphia",98,3.0,3.19,3.40,3.40,3.42,4.0,1.85,3.6,2.13,4.72
"11/03/2004","Cleveland",104,"Indiana",109,3.0,-2.66,-5.16,-5.37,-4.95,1.0,1.85,1.2,-2.61,-6.08
"11/03/2004","Golden State",75,"Portland",78,1.5,2.40,2.33,2.30,2.36,2.0,1.85,1.3,2.62,3.94
"11/03/2004","LA Clippers",114,"Seattle",84,3.0,0.38,0.04,-0.05,0.12,4.0,1.85,1.9,0.26,-1.78
"11/03/2004","Memphis",91,"Washington",103,13.5,9.06,9.30,9.42,9.17,9.5,1.85,11.6,8.79,13.56
"11/03/2004","Minnesota",99,"New York",93,10.0,9.19,11.34,11.53,11.18,10.0,1.85,10.6,7.36,12.63
"11/03/2004","New Jersey",77,"Miami",100,-5.5,3.99,8.27,8.37,8.17,-7.5,1.85,-1.0,3.20,3.36
"11/03/2004","New orleans",91,"Dallas",106,-2.5,-1.48,-2.13,-2.02,-2.24,-3.0,1.59,-2.4,-0.59,-3.24
"11/03/2004","Orlando",93,"Milwaukee",92,4.0,-0.01,-1.17,-1.28,-1.05,4.0,1.85,5.2,-1.08,-3.72
"11/03/2004","Phoenix",112,"Atlanta",82,13.0,6.12,6.47,6.53,6.41,12.5,1.85,10.5,5.96,5.48
"11/03/2004","San Antonio",101,"Sacramento",85,7.5,5.85,7.23,8.47,5.68,7.5,2.12,7.1,4.87,6.88
"11/03/2004","Toronto",95,"Houston",88,-1.5,-0.78,-0.99,-0.42,-1.59,-1.5,2.10,-2.4,-0.33,-2.04
"11/03/2004","Utah",104,"LA Lakers",78,3.5,0.24,1.36,1.65,1.06,3.5,1.53,-0.3,-0.61,-1.89
"11/04/2004","Charlotte",96,"Washington",103,-4.0,-1.82,-5.77,-5.54,-6.14,-3.0,1.51,2.9,".","."
"11/04/2004","Denver",94,"Minnesota",92,2.0,0.66,0.35,0.72,-0.10,1.5,1.34,1.0,1.11,-0.14
"11/04/2004","Miami",92,"Cleveland",86,7.5,8.67,12.21,11.54,12.91,7.0,2.54,10.0,5.05,9.97
"11/05/2004","Boston",94,"Indiana",100,3.0,-3.93,-6.43,-7.74,-5.81,3.5,1.58,-2.3,-3.20,-6.10
"11/05/2004","Chicago",106,"New Jersey",111,3.0,0.00,2.71,2.93,2.41,4.0,2.39,0.9,-3.09,-5.54
"11/05/2004","Golden State",80,"Utah",102,-1.5,0.59,-2.69,-6.53,0.40,-1.5,1.21,0.8,1.95,5.69
"11/05/2004","LA Lakers",96,"San Antonio",105,-5.0,-0.47,-2.61,-0.05,-6.04,-3.0,1.19,0.7,0.91,0.45
"11/05/2004","Memphis",81,"Houston",89,4.0,1.74,-0.45,-0.31,-0.80,4.0,1.96,1.1,3.88,4.58
"11/05/2004","New orleans",89,"Orlando",90,3.5,4.81,3.66,0.95,6.74,3.5,1.37,3.3,5.51,10.97
"11/05/2004","Philadelphia",98,"Phoenix",108,0.0,3.34,5.15,7.31,3.22,2.5,1.42,4.2,1.32,2.55
"11/05/2004","Portland",94,"LA Clippers",81,5.5,6.99,7.87,7.68,8.12,6.5,1.42,10.2,5.39,9.12
"11/05/2004","Seattle",106,"Atlanta",85,10.5,5.77,5.56,5.44,5.75,9.5,1.85,7.3,5.12,9.17
"11/05/2004","Toronto",101,"Detroit",89,-4.0,-2.03,0.78,2.10,-0.55,-4.0,1.81,-5.0,-2.62,-7.91
"11/06/2004","Charlotte",111,"Orlando",100,-6.0,-6.28,-11.98,-15.40,-9.59,-6.0,1.56,-1.7,".","."
"11/06/2004","Dallas",112,"Memphis",88,8.0,12.97,-25.60,29.50,23.09,7.0,3.13,11.1,3.70,7.29
"11/06/2004","Denver",82,"Utah",106,5.0,1.59,-4.35,-4.76,-4.13,6.0,0.55,6.8,4.31,6.77
"11/06/2004","Detroit",99,"Philadelphia",91,8.0,9.15,9.09,10.86,7.54,8.0,1.93,12.1,6.95,15.52
"11/06/2004","Golden State",86,"LA Clippers",94,3.0,3.07,-0.40,-5.45,3.47,4.0,1.06,5.2,4.87,9.27
"11/06/2004","Houston",104,"Sacramento",101,2.5,-0.53,-5.01,-1.04,-10.01,3.5,2.35,3.6,1.17,0.77
"11/06/2004","Indiana",100,"Chicago",90,10.0,16.33,23.71,27.70,23.30,8.5,2.36,16.1,11.28,17.26
"11/06/2004","Milwaukee",102,"Cleveland",88,3.0,6.73,12.32,7.11,17.94,3.0,2.12,3.0,3.94,6.28
"11/06/2004","Minnesota",99,"New orleans",92,9.0,9.70,10.18,13.23,9.77,10.0,2.40,14.9,7.34,10.55
"11/06/2004","New Jersey",80,"Phoenix",112,-8.5,-0.21,-5.96,-5.25,-11.53,-7.0,0.67,2.5,3.09,9.24
"11/06/2004","New York",73,"Boston",107,6.0,7.85,13.90,12.32,16.40,5.5,1.95,8.7,3.84,3.88
"11/06/2004","Washington",106,"Miami",118,-6.0,-1.20,2.59,-3.17,7.76,-4.0,1.70,-5.2,-1.86,-6.45
"11/07/2004","LA Lakers",106,"Atlanta",90,14.0,9.29,7.10,1.16,15.75,13.5,2.45,14.4,9.13,12.86
"11/07/2004","Seattle",113,"San Antonio",94,-9.0,-2.82,-2.71,1.82,-7.05,-6.5,1.15,-6.4,-3.20,-3.24
"11/07/2004","Toronto",101,"Portland",97,3.5,1.01,0.52,3.10,-1.62,4.0,1.92,2.8,0.73,-0.87
"11/08/2004","Dallas",101,"Golden State",98,13.0,6.43,3.90,5.12,2.55,13.0,3.93,16.3,1.60,9.09
"11/08/2004","LA Clippers",96,"Detroit",99,-6.0,1.95,7.00,3.08,10.66,-6.0,2.08,-5.8,10.25,-8.57
"11/08/2004","Utah",102,"Denver",91,7.0,14.97,16.76,13.74,23.86,6.0,4.22,5.2,41.99,0.82
"11/09/2004","Atlanta",79,"Cleveland",93,-6.5,-1.09,2.56,7.18,-3.43,-6.0,1.05,-1.7,-12.04,2.40
"11/09/2004","Chicago",74,"Phoenix",94,-8.5,-8.82,-11.74,-10.37,-13.84,-8.5,0.04,-3.0,-25.65,-0.09
"11/09/2004","Denver",88,"Seattle",108,5.5,-0.47,-2.73,-4.53,-1.07,5.5,0.54,9.0,-11.56,4.78
"11/09/2004","Houston",90,"Memphis",87,5.0,8.86,11.52,11.82,11.98,5.5,2.86,10.2,13.30,3.01
"11/09/2004","Miami",103,"Washington",93,11.0,9.64,7.62,8.48,7.61,11.0,2.69,15.6,9.41,14.04
"11/09/2004","Minnesota",101,"Indiana",102,6.0,-0.85,-2.19,-5.85,0.58,7.0,1.51,6.6,-10.75,2.82
"11/09/2004","New Jersey",64,"Portland",60,-5.0,-4.81,-8.31,-3.80,-15.36,-6.0,0.60,2.8,-18.87,5.79
"11/09/2004","New York",96,"Philadelphia",88,3.0,-5.07,-11.55,-12.10,-11.04,2.5,1.55,6.2,-19.86,4.81
"11/09/2004","New orleans",98,"LA Lakers",106,2.0,-2.90,-4.24,-7.12,-2.68,0.0,1.22,-1.1,-5.98,-1.73
"11/09/2004","Orlando",94,"Dallas",84,-1.0,-4.85,-3.55,-1.44,-5.84,-3.5,0.35,-1.7,-10.05,-10.42
"11/09/2004","Sacramento",108,"Toronto",92,8.0,-2.32,-10.82,-12.76,-9.39,7.5,0.35,12.5,-17.27,12.65
"11/10/2004","Boston",90,"Portland",88,3.5,0.64,0.05,-2.24,2.07,3.0,1.92,3.7,-1.61,0.02
"11/10/2004","Cleveland",114,"Phoenix",109,-4.5,-3.13,-5.35,-6.20,-4.57,-4.0,-0.35,3.1,-14.23,3.50
"11/10/2004","Indiana",68,"LA Clippers",102,5.5,7.54,4.93,9.15,0.93,7.5,2.27,15.0,2.65,15.25
"11/10/2004","Memphis",110,"LA Lakers",87,4.0,-0.40,-0.33,2.23,-3.22,4.0,0.45,0.5,-4.15,1.81
"11/10/2004","Milwaukee",102,"Charlotte",100,12.0,5.62,4.28,2.69,6.15,11.5,2.07,11.2,6.00,"."
"11/10/2004","Philadelphia",108,"New Jersey",100,9.0,1.91,2.48,-2.15,7.68,9.5,1.92,6.4,0.49,-2.90
"11/10/2004","San Antonio",91,"Golden State",71,14.0,11.27,11.82,13.92,11.09,14.5,3.17,17.7,10.82,10.92
"11/10/2004","Seattle",108,"Sacramento",78,-1.0,3.87,6.28,3.79,8.90,-2.0,2.97,-1.7,9.41,-0.15
"11/10/2004","Utah",95,"Toronto",104,11.0,8.70,5.13,1.14,14.89,8.5,3.51,9.4,16.56,6.71
"11/10/2004","Washington",106,"Orlando",96,3.0,5.49,7.08,9.14,5.72,2.5,1.68,1.3,10.37,4.75
"11/11/2004","Denver",117,"Detroit",109,-1.5,-5.43,-9.06,-12.62,-6.98,-2.5,0.05,-0.3,-10.70,-2.02
"11/11/2004","Houston",91,"Minnesota",96,-4.0,7.52,13.27,16.90,10.16,-2.5,1.57,2.5,14.19,-0.20
