date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linegreen,linel2,linebemiss,linefox,linedunk,lineadj,lineavgadj,linegabe
11/1/2006,Boston,87,New orleans,91,4,5.49,4.41,4.38,4.21,4,1.85,.,4.3,.,.,.,7.77,.,.,.
11/1/2006,Charlotte,99,Indiana,106,-2,-0.41,-4.06,-3.91,-2.29,-3,1.85,.,4.3,.,.,.,0.17,.,.,.
11/1/2006,Cleveland,97,Washington,94,5.5,4.77,5.31,5.23,4.87,5,1.85,.,4.3,.,.,.,7.12,.,.,.
11/1/2006,Detroit,97,Milwaukee,105,7.5,8.43,12.96,12.79,10.77,7.5,1.85,.,4.3,.,.,.,9.38,.,.,.
11/1/2006,Golden State,98,LA Lakers,110,7,-12.35,-3.6,-5.69,-1.57,8,-78.15,.,4.3,.,.,.,-1.59,.,.,.
11/1/2006,Memphis,117,New York,118,5,9.06,12.93,12.74,10.73,5.5,1.85,.,4.3,.,.,.,7.67,.,.,.
11/1/2006,Minnesota,92,Sacramento,83,4.5,0.39,0.02,0.16,0.9,4.5,1.85,.,4.3,.,.,.,-0.54,.,.,.
11/1/2006,New Jersey,102,Toronto,92,6.5,6.93,9.17,8.99,7.81,5,1.85,.,4.3,.,.,.,5.23,.,.,.
11/1/2006,Orlando,109,Chicago,94,-1.5,-13.13,-8.82,-7.28,-12.65,3,-78.15,.,4.3,.,.,.,2.92,.,.,.
11/1/2006,Philadelphia,88,Atlanta,75,6.5,5.31,8.59,8.65,7.54,7.5,1.85,.,4.3,.,.,.,5.28,.,.,.
11/1/2006,Phoenix,112,LA Clippers,104,4,16.43,3.56,2.53,4.94,5.5,81.85,.,4.3,.,.,.,8.24,.,.,.
11/1/2006,Seattle,106,Portland,110,9,9.24,10.05,10.05,8.62,8,1.85,.,4.3,.,.,.,16.04,.,.,.
11/1/2006,Utah,107,Houston,97,-1,2.46,1.53,1.6,2.03,-1.5,1.85,.,4.3,.,.,.,4.1,.,.,.
11/2/2006,Dallas,91,San Antonio,97,3,2.32,2.61,2.39,2.78,4.5,1.85,5.5,4.3,.,.,.,-2.88,.,.,-2.79
11/2/2006,LA Clippers,96,Denver,95,3.5,3.93,2.38,1.37,3.83,4.5,1.32,7.1,4.3,.,.,.,4.32,.,.,-0.14
11/3/2006,Atlanta,102,New York,92,2.5,1.02,-3.15,-4.3,-2.18,2,0.8,5,4.3,.,.,.,-4.1,.,.,-1.29
11/3/2006,Boston,88,Detroit,101,-2,-0.51,-1.86,-3.48,-0.41,-2,1.85,-2.2,4.3,.,.,.,-3.92,.,.,-16.38
11/3/2006,Chicago,88,Sacramento,89,5.5,5.4,7.97,5.99,11.7,7,3.37,8.6,4.3,.,.,.,1.63,.,.,-4.68
11/3/2006,Denver,109,Minnesota,112,5,4.46,1.13,-1.73,3.78,6,0.8,9.3,4.3,.,.,.,7.86,.,.,0.82
11/3/2006,Golden State,102,Portland,89,8.5,5.58,1.31,1.79,0.81,8.5,0.8,7.8,4.3,.,.,.,11.04,.,.,4.67
11/3/2006,Indiana,91,New orleans,100,4,6.89,5.43,5.7,5.23,5.5,1.85,9.7,4.3,.,.,.,12.2,.,.,-0.91
11/3/2006,LA Lakers,118,Seattle,112,5,10,16.09,19.37,14.15,4.5,3.42,11.5,4.3,.,.,.,10.14,.,.,2.47
11/3/2006,Memphis,96,Charlotte,83,4.5,7.51,8.2,8.94,7.85,4.5,1.85,11.7,4.3,.,.,.,6.71,.,.,7.3
11/3/2006,Miami,91,New Jersey,85,3.5,0.33,-2.71,-0.8,-11.02,5,0.8,6,4.3,.,.,.,-3.39,.,.,1.48
11/3/2006,Orlando,103,Philadelphia,105,5.5,6.51,8.7,6.77,11.79,6,1.85,7.7,4.3,.,.,.,6.61,.,.,-3.16
11/3/2006,Phoenix,104,Utah,108,6.5,7.86,7.74,9.1,6.73,8,1.32,12.3,4.3,.,.,.,11.64,.,.,5.3
11/3/2006,San Antonio,81,Cleveland,88,5.5,7.9,12.07,11.75,12.68,5,1.85,8.1,4.3,.,.,.,8.07,.,.,3.43
11/3/2006,Toronto,109,Milwaukee,92,-1,-0.68,-4.63,-5.32,-4.14,2.5,0.8,3.5,4.3,.,.,.,-4.65,.,.,-7.47
11/4/2006,Charlotte,92,Cleveland,88,-4.5,-4.66,-12.6,-14.11,-11.51,-3.5,-0.25,-6.9,4.3,.,.,.,-2.8,.,.,-13.82
11/4/2006,Detroit,95,Memphis,86,7.5,5.71,7.45,7.81,7.13,8,1.85,9.5,4.3,.,.,.,7.18,.,.,-1.03
11/4/2006,Houston,107,Dallas,76,-2,-0.05,1.05,0.44,1.64,-1.5,1.85,0.9,4.3,.,.,.,-5.32,.,.,-10.24
11/4/2006,LA Clippers,114,Phoenix,108,4,1.56,0.64,0.72,0.54,4,1.38,2.6,4.3,.,.,.,-0.08,.,.,-2.53
11/4/2006,Milwaukee,104,Sacramento,91,2,1.66,0.89,-0.49,2.14,3,2.85,1.5,4.3,.,.,.,2.16,.,.,-1.07
11/4/2006,New York,95,Indiana,109,-2.5,0.33,1.69,1.17,2.23,-1.5,1.85,-0.2,4.3,.,.,.,-2.87,.,.,-2.59
11/4/2006,Portland,88,Minnesota,86,-3,-1.56,-4.74,-5.74,-3.89,-3,0.8,0.1,4.3,.,.,.,-1.81,.,.,-11.05
11/4/2006,Utah,106,Golden State,82,6,6.19,9.5,9.19,9.82,6,2.9,9,4.3,.,.,.,4.95,.,.,5.15
11/4/2006,Washington,124,Boston,117,7.5,7.49,12.01,11,13.55,7,2.38,9,4.3,.,.,.,5.9,.,.,2.34
11/5/2006,Atlanta,95,Orlando,82,-3.5,2.53,6.38,7.94,5.13,-2.5,-0.15,2.1,4.3,.,.,.,-0.84,.,.,-8.24
11/5/2006,New orleans,96,Houston,90,2.5,5.62,15.25,20.22,10.98,3.5,2.9,-1.1,4.3,.,.,.,2.53,.,.,-5.68
