date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linegreen,lineray1,linefox,linedunk,linedok
10/30/2007,Golden State,96,Utah,117,3,1.78,1.08,0.67,1.46,4,1.85,5.3,0.7,0.83,4,0.08,.
10/30/2007,LA Lakers,93,Houston,95,-5.5,0.92,-0.12,-0.03,-0.22,-3,1.85,2.6,-0.4,1.67,2,2.87,.
10/30/2007,San Antonio,106,Portland,97,13.5,12.96,14.81,14.07,15.69,12.5,1.85,17,9.2,5.63,19,18.44,.
10/31/2007,Cleveland,74,Dallas,92,-3.5,0.79,-0.46,-0.43,-0.1,-4,1.85,2.5,.,-7.51,9,0.71,-0.84
10/31/2007,Denver,120,Seattle,103,11,8.3,7.36,7.2,6.87,10.5,1.85,13,.,9.37,12,12.52,6.87
10/31/2007,Indiana,119,Washington,110,-2,2.7,2.94,2.96,2.99,1.5,1.85,-0.3,.,12.25,0.01,2.09,4.05
10/31/2007,Memphis,101,San Antonio,104,-6.5,-5.71,-6.02,-7.1,-4.92,-7,1.33,-7.5,.,-0.2,-7,-9.24,-5.12
10/31/2007,New Jersey,112,Chicago,103,2.5,0.82,2.16,2.21,2.3,2,1.85,0.7,.,1.81,0.01,-1.51,2.06
10/31/2007,New orleans,104,Sacramento,90,9.5,4.72,3,3.01,3.05,10,1.85,6.7,.,1.94,10,8.8,3.27
10/31/2007,Orlando,102,Milwaukee,83,7,8.27,5.71,5.62,5.43,7.5,1.85,9.3,.,15.05,14,12.5,5.92
10/31/2007,Toronto,106,Philadelphia,97,7,5.24,5.11,5.04,4.9,7,1.85,11.2,.,9.95,1,1.97,5.53
11/1/2007,Miami,80,Detroit,91,-4.5,-1.29,-1.37,-1.62,-0.46,-1,3,2.5,.,-2.49,-5,-3.26,0.08
11/1/2007,Seattle,99,Phoenix,106,-10.5,-5.44,-8.44,-8.39,-7.71,-11,2.47,-7.2,.,-2.32,-9,-8.9,-3.02
11/1/2007,Utah,95,Houston,106,4,4.88,5.13,2.77,8.59,2,3,4.1,.,5.04,9,7.43,2.87
11/2/2007,Atlanta,101,Dallas,94,-6,-6.32,-13.11,-12.49,-13.82,-6,2.48,-7.5,.,1.83,-4,-9.55,-6.38
11/2/2007,Boston,103,Washington,83,6.5,4.4,1.94,1.86,2.61,7,3.53,10.7,.,10.23,8,3.23,1.71
11/2/2007,Charlotte,102,Milwaukee,99,3,5.71,4.25,2.97,6.56,3,3.53,4,.,5.64,11,12.49,3.75
11/2/2007,Chicago,85,Philadelphia,96,8.5,8.39,6.97,7.17,6.78,9.5,3,14.8,.,5.23,12,10.93,7.24
11/2/2007,Cleveland,110,New York,106,5,7.69,7.29,8.92,4.95,7.5,2.47,11,.,-2.12,13,12.02,8.42
11/2/2007,Indiana,87,Miami,85,7,3.34,6.11,6.05,6.19,7,4.05,-2.4,.,14.55,-1,6.28,1.2
11/2/2007,LA Clippers,120,Golden State,114,2.5,3.57,9.13,7.3,12.78,2,3.53,2,.,6.01,1,-0.89,2.66
11/2/2007,Minnesota,91,Denver,99,-8.5,-3.97,-2.99,-2.24,-3.45,-8.5,2.48,-4.5,.,-4.46,-12,-6.77,0.12
11/2/2007,New Jersey,69,Toronto,106,3,3.89,5.63,5.33,5.91,4,3,5.1,.,-1.28,11,1.33,3.99
11/2/2007,New orleans,113,Portland,93,7.5,6.98,7.91,8.45,7.48,8,4.05,7.3,.,5.09,12,9.38,5.12
11/2/2007,Orlando,92,Detroit,116,3,0.41,-2.44,-3.09,-1.78,3,3,0.3,.,11.98,1,0.13,-1.94
11/2/2007,Phoenix,98,LA Lakers,119,9,8.5,9.07,11.64,6.73,10,4.05,11.2,.,5.14,10,10.72,7.75
