date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linegametime,lineray1,linefox,linedunk,linegirl,linedok
11/4/2008,Houston,99,Boston,103,3,3.05,0.91,3.13,-0.88,2.5,3.05,4.6,5.5,-2,0.01,0.16,6.08,4.39
11/4/2008,New Jersey,86,Phoenix,114,-7,-1.51,2.76,0.48,5.11,-4.5,2.93,-2.9,0.01,-2.81,-9,-3.89,-5.84,1.45
11/4/2008,San Antonio,81,Dallas,98,4,5.39,4.36,1.98,6.85,3.5,2.48,8.8,5,4.98,10,7.67,-1.42,6.54
11/5/2008,Cleveland,107,Chicago,93,9,7.45,5.86,4.69,6.99,7,3.13,10.5,7,1.68,14,12.98,8.63,8.17
11/5/2008,Golden State,111,Denver,101,3.5,2.9,7.17,8.3,6.25,3.5,2.13,3.1,1.5,1.4,-1,0.3,3.73,3.73
11/5/2008,Indiana,103,Phoenix,113,-3.5,0.89,6.64,6.32,7.15,-3.5,1.96,-1.5,2.5,-0.03,-5,-0.25,2.16,4.72
11/5/2008,LA Lakers,106,LA Clippers,88,13.5,15.92,15.74,13.68,18.31,15,6.68,18.8,17,22.3,23,21.65,19.22,13.33
11/5/2008,Miami,106,Philadelphia,83,-3,-0.77,-3.32,-1.91,-4.96,-2.5,2.48,1.6,2.5,-4,-5,-1.19,-4.6,0.6
11/5/2008,Milwaukee,112,Washington,104,0,2.65,6.78,9.73,4.26,1.5,3.07,2.9,4.5,0.48,0.01,3.01,0.58,0.46
11/5/2008,Minnesota,125,San Antonio,129,-5,-2.95,1.58,3.41,-0.11,-4,4.05,-4.3,0.5,-6.26,-8,-6.46,-3.66,1.44
11/5/2008,New York,101,Charlotte,98,5,0.6,-0.7,-0.56,-1.01,4,4,2.3,1.5,-0.16,-2,2,-1.35,-2.21
11/5/2008,New orleans,79,Atlanta,87,8,7.72,5.88,6.03,5.72,8.5,3.52,11.3,7.5,2.98,12,12.32,9.83,5.37
11/5/2008,Oklahoma City,83,Boston,96,-9,-8.1,-8.49,-8.8,-8.67,-8.5,-0.57,-9.1,-6,-12.97,-15,-7.03,-10.64,-2.2
11/5/2008,Sacramento,100,Memphis,95,3,-0.41,-7.74,-8.37,-7.46,3.5,2.9,4.3,1,-3.75,2,6.07,-3.49,-3.19
11/5/2008,Toronto,93,Detroit,100,3.5,1.51,1.13,1.56,0.8,2,3,0.9,3,2.8,0.01,-0.31,4.37,3.05
11/5/2008,Utah,103,Portland,96,6.5,9.23,4.01,3.04,4.93,7.5,6.1,9,9.5,10.99,14,13.68,10.94,8.33
11/6/2008,Orlando,98,Philadelphia,88,5,5.08,3.25,6.32,0.11,4.5,1.53,4.5,3.5,0.64,7,8.03,12.43,5.92
11/6/2008,Portland,101,Houston,99,-5,-1.68,0,1.36,-1.49,-4.5,-1.1,0.4,-0.5,-6.06,-4,-1.24,0.3,-2.01
11/7/2008,Atlanta,110,Toronto,92,2.5,6.86,9.08,10.52,8.32,4,2.53,5.1,3,6.56,2,7.09,29.34,4.4
11/7/2008,Boston,101,Milwaukee,89,13.5,11.05,9.22,9.51,8.94,14,5.55,16.7,11.5,9.93,19,19.77,6.96,8.3
11/7/2008,Charlotte,92,New orleans,89,-7.5,-5.19,-6.3,-7.14,-5.57,-7.5,-1.1,-3.9,-2.5,-10.59,-7,-5.42,-10.14,-2.29
11/7/2008,Chicago,100,Phoenix,83,-4.5,-2.45,-0.98,-1.66,-0.38,-4,1.63,0.8,0.5,-4.28,-10,-6.32,-8.22,-1.05
11/7/2008,Cleveland,111,Indiana,107,8.5,7.11,5.65,5.7,5.65,8.5,3.9,13.4,8,-0.46,9,9.96,3.47,5.25
11/7/2008,Denver,108,Dallas,105,1,2.15,5.49,5.22,5.77,1,2.68,2.9,3,3.04,4,2.5,-9.32,3.64
11/7/2008,Golden State,104,Memphis,109,7,8.05,7.4,6.23,8.61,6.5,5,9.1,7,7.36,9,8.79,9.22,7.79
