date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linenscombo,linel2,linegametime,lineray1,linefox,linedunk,linegirl,linegabe,lineboyd,linemass,linedok,lineblc
10/27/2009,Cleveland,89,Boston,95,5,4.18,4.67,4.67,4.67,5,3,5.8,.,.,5,-6.57,10,9.03,2.17,.,.,.,3.99,.
10/27/2009,Dallas,91,Washington,102,8,9.74,11.62,11.62,11.62,8,3,8.6,.,.,5,9.15,13,14.23,12.6,.,.,.,8.55,.
10/27/2009,LA Lakers,99,LA Clippers,92,10,15.16,18.47,18.47,18.47,10,3,16.5,.,.,12,4.35,30,20.17,20.09,.,.,.,8.52,.
10/27/2009,Portland,96,Houston,87,10,3.7,1.68,1.68,1.68,10,3,7.5,.,.,9,-3.31,6,8.4,1.5,.,.,.,1.6,.
10/28/2009,Atlanta,120,Indiana,109,9.5,6.19,4.54,4.55,4.53,9.5,3,10.8,.,.,6,13.14,0.01,8.5,7.39,.,.,.,3.94,.
10/28/2009,Boston,92,Charlotte,59,10,11.2,13.16,13.04,13.31,11,3.52,16.3,.,.,9.5,11.98,8,12.61,16.4,.,.,.,7.33,.
10/28/2009,Denver,114,Utah,105,5.5,4.53,5.19,5.2,5.17,6,3,7.4,.,.,4,-0.48,10,3.14,3.67,.,.,.,4.18,.
10/28/2009,Golden State,107,Houston,108,6.5,-0.8,-1.48,-1.31,-1.68,6.5,3.53,-1.3,.,.,3.25,-5.57,-8,7.9,-5.28,.,.,.,0.47,.
10/28/2009,LA Clippers,107,Phoenix,109,-2,-1.43,-4.54,-4.87,-4.19,1,2.47,1.4,.,.,0.75,6.41,-7,2.09,-6.27,.,.,.,-5.04,.
10/28/2009,Memphis,74,Detroit,96,-2.5,-1.11,-2.6,-2.65,-2.53,-2,3,1,.,.,-2,-1.81,5,-4.16,-6.07,.,.,.,-0.88,.
10/28/2009,Miami,115,New York,93,5,5.74,5.72,5.74,5.7,6,3,12.5,.,.,6,1.62,8,4.14,5.19,.,.,.,5.49,.
10/28/2009,Minnesota,95,New Jersey,93,-1.5,1.93,1.48,1.47,1.51,-1.5,3,4.2,.,.,2,2.16,-1,3.51,1.84,.,.,.,0.6,.
10/28/2009,Oklahoma City,102,Sacramento,89,7.5,3.78,4.09,4.09,4.08,7.5,3,4.8,.,.,7,-2.25,8,3.55,1.95,.,.,.,3.55,.
10/28/2009,Orlando,120,Philadelphia,106,9.5,9.38,9.88,9.93,9.81,8,3,12.3,.,.,8,12.89,14,7.97,9.1,.,.,.,6.84,.
10/28/2009,San Antonio,113,New orleans,96,10,5.94,6.52,6.53,6.48,8,3,8.2,.,.,5,5.14,11,7.49,0.84,.,.,.,5.73,.
10/28/2009,Toronto,101,Cleveland,91,-6,-3.29,-2.9,-2.4,-3.52,-5,3.53,-3,.,.,-1.5,-0.4,-7,-9.96,-5.83,.,.,.,-2.81,.
10/29/2009,Chicago,92,San Antonio,85,-3.5,0.02,-0.82,-0.55,-1.06,-3,3,0.9,.,.,-0.5,6.09,0.01,-6.18,-0.94,.,.,.,-0.53,.
10/29/2009,Portland,94,Denver,97,7,3.06,2.55,2.77,2.34,4.5,3.52,4.4,.,.,5,1.57,5,0.83,2.55,.,.,.,2.57,.
10/30/2009,Atlanta,100,Washington,89,6.5,6.68,6.45,6.52,6.38,5.5,3,5.5,.,.,3.5,10.04,8,4.92,12.96,.,.,.,6.02,.
10/30/2009,Boston,118,Chicago,90,11.5,8.86,10.01,9.45,10.78,11.5,3.52,11.6,.,.,8,7.98,8,9.94,12.91,.,.,.,6.38,.
10/30/2009,Charlotte,102,New York,100,1.5,2.96,5.87,6.24,5.45,3,3,5.2,.,.,4.25,2.63,1,-3.82,0.53,.,.,.,5.08,.
10/30/2009,Detroit,83,Oklahoma City,91,5,8.69,11,10.94,11.07,6.5,3,10.3,.,.,5.75,11.57,8,5.96,12.77,.,.,.,7.58,.
10/30/2009,Indiana,83,Miami,96,1.5,0.87,2.26,2.72,1.82,-1,1.95,-2.3,.,.,0.01,0.1,0.01,2.17,1.43,.,.,.,0.76,.
10/30/2009,LA Lakers,80,Dallas,94,8,8.96,9.97,10.12,9.85,9,4.05,10.2,.,.,9,3.5,15,11.28,10.18,.,.,.,6.46,.
10/30/2009,Memphis,115,Toronto,107,-2,-0.88,-2.98,-2.32,-3.68,-4,1.95,0.2,.,.,-3.5,0.95,3,-1.46,-2.98,.,.,.,-0.95,.
10/30/2009,Minnesota,87,Cleveland,104,-12.5,-4.7,-3.81,-2.63,-5.16,-11,4.58,-7,.,.,-6.75,0.6,-9,-11.1,-7,.,.,.,-3.57,.
10/30/2009,New Jersey,85,Orlando,95,-10.5,-5.43,-5.37,-5.72,-5.05,-8,1.95,-5.7,.,.,-7.5,-9.51,-6,-9.22,-3.69,.,.,.,-3.87,.
10/30/2009,New orleans,97,Sacramento,92,11.5,8.91,10.56,10.51,10.63,10,3,11.2,.,.,10.75,4.98,6,9.39,14.48,.,.,.,8.15,.
10/30/2009,Philadelphia,99,Milwaukee,86,7,4.98,6.05,6.29,5.77,8,2.47,9,.,.,6.75,4.86,1,4.55,4.23,.,.,.,4.91,.
10/30/2009,Phoenix,123,Golden State,101,5,7.28,9.49,11.17,8.02,7,4.05,9.7,.,.,4.5,3.9,7,10.07,8.87,.,.,.,5.51,.
10/30/2009,Utah,111,LA Clippers,98,8.5,9.8,12.31,13.75,11.23,8.5,3.53,11.3,.,.,7.25,6.24,13,10.36,12.96,.,.,.,8.4,.
10/31/2009,Cleveland,90,Charlotte,79,14.5,11.14,9.47,6.89,12.76,12.5,3.47,16.1,.,.,10.75,3.2,15,18.26,15.57,.,.,.,9.39,.
10/31/2009,Houston,111,Portland,107,-3,2.28,3.36,3.94,2.82,-3.5,1,2.9,.,.,-1.75,6.91,0.01,0.48,4.5,.,.,.,2.03,.
10/31/2009,LA Clippers,84,Dallas,93,-5,-3.63,-4.95,-6.54,-4.17,-4,1.42,-2.1,.,.,-2,0.79,-10,-3.2,-6.91,.,.,.,-3.6,.
10/31/2009,Milwaukee,96,Detroit,85,3,0.1,-0.95,-0.26,-1.67,3,1.48,-0.2,.,.,-2.75,5.1,1,-0.3,-0.74,.,.,.,-0.64,.
10/31/2009,New York,127,Philadelphia,141,-2,1.07,-0.46,0.31,-1.39,-1.5,2.42,1.7,.,.,-0.75,1.48,3,3.1,1.15,.,.,.,-0.32,.
10/31/2009,San Antonio,113,Sacramento,94,16.5,11.87,12.17,12,12.35,15,5.05,14.4,.,.,13,7.16,13,17.71,12.32,.,.,.,11.69,.
10/31/2009,Washington,123,New Jersey,104,5,5.13,7.64,8.73,6.77,8,4.29,11,.,.,8.75,3.44,0.01,8.9,-3.21,.,.,.,2.59,.
11/1/2009,Boston,97,New orleans,87,10.5,12.27,14.62,13.43,15.95,11.5,5.57,11.9,.,.,9.25,15.02,16,19.65,6.81,.,.,.,9.13,.
11/1/2009,Denver,133,Memphis,123,10.5,12.84,15.58,15.85,15.57,12.5,5.05,15.9,.,.,11.25,13.5,13,14.92,13.08,.,.,.,10.32,.
11/1/2009,LA Lakers,118,Atlanta,110,7,6.78,3.55,3.79,3.3,7,1.95,10.2,.,.,7.5,-0.06,14,10.84,9.82,.,.,.,6.42,.
