date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,linenutshell,linefox,linedok,linetalis,linegrind,linepugh,linedonc,linegt,linedoi
10/28/2014,LA Lakers,90,Houston,108,-7,-4.36,-7.02,-6.07,-7.36,-6,2.85,-1.8,-7.56,1.5,-4,-7,,-7.26,-5.46,-3.1,,
10/28/2014,New Orleans,101,Orlando,84,9.5,8.06,7.28,7.95,6.55,9.5,2.85,9.1,7.54,13.25,9,9,,10.61,7.33,6.3,,
10/28/2014,San Antonio,101,Dallas,100,3.5,7.01,8.69,7.69,8.95,5,2.85,7.8,9.57,-1.5,15,6,,2.2,9.81,7,,
10/29/2014,Boston,121,Brooklyn,105,1,-0.89,-3.02,-3.01,-3.02,-1,2.85,0.3,-3.01,7.75,-3,-2,,0.05,-0.34,-7.1,2,
10/29/2014,Charlotte,108,Milwaukee,106,8,8.39,10.65,10.67,10.65,9,2.85,11.6,10.66,0.75,8,8,,5.78,7.9,13.2,,
10/29/2014,Denver,89,Detroit,79,6.5,5.96,5.74,5.75,5.74,7.5,2.85,7.6,5.75,3.75,8,7,,6.74,7.4,7.2,4,
10/29/2014,Indiana,103,Philadelphia,91,7,9.01,10.5,10.52,10.5,8.5,2.85,12,10.51,7.5,9,9,,0.35,15.11,10.3,9,
10/29/2014,Memphis,105,Minnesota,101,7,7.13,10.94,10.96,10.94,8.5,2.85,11.7,10.95,-4.25,4,7,,2.49,3.97,14.1,7,
10/29/2014,Miami,107,Washington,95,3.5,3.13,1.15,1.16,1.15,4.5,2.85,4.1,1.16,7,6,4,,7.97,3.8,-1.7,2,
10/29/2014,New York,80,Chicago,104,-4,0.08,-3.07,-3.06,-3.07,-4,2.85,-0.4,-3.06,2.25,5,-2,,1.92,2.42,2.3,-1,
10/29/2014,Phoenix,119,LA Lakers,99,12,8.64,8.51,13.86,7.96,8.5,3.38,6.1,13.36,6,11,10,,8.13,8.73,8.8,6.5,
10/29/2014,Portland,106,Oklahoma City,89,8.5,3.5,1.51,1.52,1.51,4.5,2.85,1.3,1.52,11,-1,6,,7.09,-0.85,10.1,3,
10/29/2014,Sacramento,77,Golden State,95,-4.5,-3.6,-5.33,-5.33,-5.33,-3,2.85,-4.8,-5.32,-2.5,-6,-3,,-0.51,-3.56,-5,-3,
10/29/2014,Toronto,109,Atlanta,102,4.5,4.59,5,5.01,5,5.5,2.85,9.3,5.01,4,7,4,,-0.64,5.3,3.8,4,
10/29/2014,Utah,93,Houston,104,-3,-3.76,-5.54,-1.74,-6.26,-4.5,2.33,-5.7,-1.8,1,-10,-5,,-1.98,-6.31,-4.1,-3.8,
10/30/2014,Cleveland,90,New York,95,12.5,8.71,10.18,10.7,10.01,10,3.38,12.2,10.64,5.5,1,9,,13.78,4.18,14,,
10/30/2014,Dallas,120,Utah,102,10.5,10.73,11.81,11.7,11.93,9.5,2.85,16.1,11.71,7,15,12,,8.38,10.95,9.3,,
10/30/2014,LA Clippers,93,Oklahoma City,90,13,6.15,4.52,5.02,4.26,9.5,3.38,4.7,5.02,5,6,8,,13.75,3.52,10.6,,
10/30/2014,Minnesota,97,Detroit,91,6,3.2,0.27,0.55,0.21,3.5,2.85,5.1,0.63,6.75,8,6,,1.17,9.62,-2.8,,
10/30/2014,Orlando,98,Washington,105,-4.5,-2.54,-5,-4.54,-5.14,-5,2.85,-3.4,-4.64,2.75,-7,-2,,4.99,-2.9,-6.4,,
11/01/2014,Atlanta,102,Indiana,92,10.5,5.19,9.05,11.14,7.97,9.5,1.33,4.2,11.26,0.5,3,5,1.36,18.14,-0.21,-1.1,7,-0.77
11/01/2014,Charlotte,69,Memphis,71,3.5,1.66,4.09,5.53,2.17,2.5,2.33,2.8,5.96,1.5,0.01,-3,-0.37,4.23,-1.92,-1.4,0.5,2.51
11/01/2014,Detroit,90,Brooklyn,102,3,-0.73,-1.81,-5.44,2.26,3.5,2.32,0.4,-4.98,2.5,1,0,-1.72,3.01,-0.39,-5,,-2.39
11/01/2014,Golden State,127,LA Lakers,104,15,13.52,15.63,22.12,12.65,15.5,4.96,13,22.61,6.75,15,16,15.82,11.37,11.68,9.3,,12.34
11/01/2014,Houston,104,Boston,90,8,9.36,7.8,6.01,13.96,8,3.37,13.9,6.09,0.01,12,12,13.13,12.68,12.22,11.2,8.3,7.69
11/01/2014,Minnesota,105,Chicago,106,-2.5,-1.35,-4.69,-5.95,-5.29,-4.5,1.85,-6.1,-6.17,2.25,0.01,3,2.76,5.88,4.77,-9.7,,-1.57
11/01/2014,New Orleans,104,Dallas,109,-1,1.27,4.17,6.2,1.8,1,3.38,-0.8,5.91,5,-1,-2,-2.8,3.73,-1.41,-6,,1.56
11/01/2014,Oklahoma City,102,Denver,91,-5,2.58,2.9,-0.51,8.61,-5.5,1.27,13.2,-0.16,-8,5,2,8.22,-6.2,10.16,-2.5,2.2,
11/01/2014,Orlando,95,Toronto,108,-6,-4.75,-6.97,-11.32,-3.44,-7,1.27,-2.5,-11.33,-2.75,-7,-4,-6.32,0.08,-4.12,-5.2,,-2.9
11/01/2014,Philadelphia,96,Miami,114,-9,-7.56,-10.15,-14.78,-7.44,-9.5,1.27,-5.4,-14.78,-3.5,-10,-10,-12.42,-4.33,-5.93,-1.2,,-7.12
11/01/2014,Utah,118,Phoenix,91,-2.5,-3.08,-3.24,-5.05,-2.41,-2,0.75,0,-4.83,-2.5,-11,-1,-5.32,2.37,-2.85,-5.5,,-2.6
11/01/2014,Washington,108,Milwaukee,97,9,9.6,10.48,10.56,13.58,8.5,1.85,14.6,10.28,0.25,9,13,11.71,5.44,10.64,14.2,,8.83
11/02/2014,LA Clippers,92,Sacramento,98,9,9.53,10.93,11.98,14.35,10.5,4.9,15.9,11.63,1.61,12,14,10.17,12.2,4.27,9.6,9.3,0.15
11/02/2014,Miami,107,Toronto,102,2,2.82,2.08,1.47,2.68,3.5,2.85,5.5,1.69,-4.5,7,8,3.68,3.15,4.29,-0.5,2.2,2.67
11/02/2014,New York,96,Charlotte,93,3.5,2.84,2.02,1.41,2.73,2,1.35,6.2,1.4,4,6,3,2.21,3.65,0.03,7,2.7,-1.06
11/02/2014,Portland,90,Golden State,95,3.5,1.06,2.26,1.21,3.72,4,2.8,2.5,1.4,2.77,-3,7,-0.45,4.3,-5.03,-0.4,0.7,-3.81
11/03/2014,Brooklyn,116,Oklahoma City,85,7,3.54,2.5,4,-0.6,7.5,3.38,-0.9,3.86,12.57,-1,1,0,7.35,-1.13,9.8,4.7,3.78
11/03/2014,Dallas,118,Boston,113,9.5,8.2,7.95,6.4,13.9,9,2.37,14.2,6.73,-4.37,11,12,11,8.62,10.78,11.2,7.8,5.39
11/03/2014,Denver,105,Sacramento,110,6.5,3.76,9.05,10.2,8.4,8,3.33,7,10.84,3.55,5,8,2,7.55,-1.93,6.2,4.2,-4.23
11/03/2014,LA Clippers,107,Utah,101,9,8.16,11.88,12.1,15.3,9.5,3.9,15,11.95,3.72,12,13,12,8.95,2.92,10.6,9.2,-2.55
11/03/2014,Memphis,93,New Orleans,81,4,4.44,2.43,0.8,6.3,6,3.42,8,-0.01,-4.5,6,9,7,1.06,3.03,12,5,-1.78
